,0
Coal Steam CCSWA,0.0
Combined CycleWA,7.336878842980015
Combined Cycle CCSWA,0.0
NuclearWA,0.0
Battery StorageWA,0.0
HydrogenWA,0.0
SRWA,0.0
SMRWA,0.0
SMR CCSWA,0.0
ElectrolyzerWA,0.0
Fuel CellWA,0.0
H2 TurbineWA,0.0
Coal Steam CCSOR,0.0
Combined CycleOR,7.598269747869833
Combined Cycle CCSOR,0.0
NuclearOR,0.0
Battery StorageOR,0.0
HydrogenOR,0.0
SROR,0.0
SMROR,0.0
SMR CCSOR,0.0
ElectrolyzerOR,0.0
Fuel CellOR,0.0
H2 TurbineOR,0.0
Coal Steam CCSCA,0.0
Combined CycleCA,32.703704464523476
Combined Cycle CCSCA,0.0
NuclearCA,0.0
Battery StorageCA,0.0
HydrogenCA,0.0
SRCA,0.0
SMRCA,0.0
SMR CCSCA,0.0
ElectrolyzerCA,0.0
Fuel CellCA,0.0
H2 TurbineCA,0.0
Coal Steam CCSNV,0.0
Combined CycleNV,9.762309286603491
Combined Cycle CCSNV,0.0
NuclearNV,0.0
Battery StorageNV,0.0
HydrogenNV,0.0
SRNV,0.0
SMRNV,0.0
SMR CCSNV,0.0
ElectrolyzerNV,0.0
Fuel CellNV,0.0
H2 TurbineNV,0.0
Coal Steam CCSID,0.0
Combined CycleID,0.0
Combined Cycle CCSID,0.0
NuclearID,0.0
Battery StorageID,0.0
HydrogenID,0.0
SRID,0.0
SMRID,0.0
SMR CCSID,0.0
ElectrolyzerID,0.0
Fuel CellID,0.0
H2 TurbineID,0.0
Coal Steam CCSMT,0.0
Combined CycleMT,0.0
Combined Cycle CCSMT,0.0
NuclearMT,0.0
Battery StorageMT,0.0
HydrogenMT,0.0
SRMT,0.0
SMRMT,0.0
SMR CCSMT,0.0
ElectrolyzerMT,0.0
Fuel CellMT,0.0
H2 TurbineMT,0.0
Coal Steam CCSWY,0.0
Combined CycleWY,0.0
Combined Cycle CCSWY,0.0
NuclearWY,0.0
Battery StorageWY,0.0
HydrogenWY,0.0
SRWY,0.0
SMRWY,0.0
SMR CCSWY,11.487314603908343
ElectrolyzerWY,0.0
Fuel CellWY,0.0
H2 TurbineWY,0.0
Coal Steam CCSUT,0.0
Combined CycleUT,0.0
Combined Cycle CCSUT,0.0
NuclearUT,0.0
Battery StorageUT,0.0
HydrogenUT,0.0
SRUT,0.0
SMRUT,0.0
SMR CCSUT,0.0
ElectrolyzerUT,0.0
Fuel CellUT,0.0
H2 TurbineUT,0.0
Coal Steam CCSAZ,0.0
Combined CycleAZ,0.0
Combined Cycle CCSAZ,0.0
NuclearAZ,0.0
Battery StorageAZ,0.0
HydrogenAZ,0.0
SRAZ,0.0
SMRAZ,0.0
SMR CCSAZ,0.0
ElectrolyzerAZ,0.0
Fuel CellAZ,0.0
H2 TurbineAZ,0.0
Coal Steam CCSNM,0.0
Combined CycleNM,0.0
Combined Cycle CCSNM,0.0
NuclearNM,0.0
Battery StorageNM,0.0
HydrogenNM,0.0
SRNM,0.0
SMRNM,0.0
SMR CCSNM,0.0
ElectrolyzerNM,0.0
Fuel CellNM,0.0
H2 TurbineNM,0.0
Coal Steam CCSCO,0.0
Combined CycleCO,0.0
Combined Cycle CCSCO,0.0
NuclearCO,0.0
Battery StorageCO,0.0
HydrogenCO,0.0
SRCO,0.0
SMRCO,0.0
SMR CCSCO,0.0
ElectrolyzerCO,0.0
Fuel CellCO,0.0
H2 TurbineCO,0.0
windlat31.83lon-112.32AZ,0.0
windlat32.33lon-113.32AZ,0.0
windlat32.33lon-111.32AZ,0.0
solarlat31.83lon-112.32AZ,0.0
solarlat32.33lon-113.32AZ,0.0
solarlat32.33lon-111.32AZ,0.0
windlat31.83lon-110.32AZ,0.0
windlat32.33lon-109.82AZ,0.0
windlat32.83lon-113.32AZ,0.0
windlat32.83lon-111.32AZ,0.0
windlat32.83lon-109.32AZ,0.0
windlat33.33lon-112.82AZ,0.0
windlat33.33lon-110.82AZ,0.0
windlat33.83lon-113.32AZ,0.0
windlat33.83lon-111.32AZ,0.0
windlat34.33lon-112.82AZ,0.0
windlat34.33lon-110.82AZ,0.0
windlat34.67lon-110.32AZ,0.0
windlat34.83lon-113.32AZ,0.0
windlat34.83lon-111.32AZ,0.0
windlat35.33lon-111.82AZ,0.0
windlat35.83lon-111.82AZ,0.0
windlat36.33lon-111.82AZ,0.0
windlat36.83lon-112.32AZ,8.748035064105999
windlat36.83lon-110.32AZ,0.0
solarlat31.83lon-110.32AZ,0.0
solarlat32.33lon-109.32AZ,0.0
solarlat32.83lon-112.82AZ,0.0
solarlat32.83lon-110.82AZ,0.0
solarlat33.33lon-114.32AZ,0.0
solarlat33.33lon-112.32AZ,0.0
solarlat33.33lon-110.32AZ,0.0
solarlat33.83lon-112.82AZ,0.0
solarlat33.83lon-110.82AZ,0.0
solarlat34.33lon-112.32AZ,0.0
solarlat34.33lon-110.32AZ,0.0
solarlat34.83lon-113.32AZ,0.0
solarlat34.83lon-111.32AZ,0.0
solarlat35.33lon-113.32AZ,0.0
solarlat35.33lon-111.32AZ,0.0
solarlat35.83lon-112.32AZ,0.0
solarlat35.83lon-110.32AZ,0.0
solarlat36.33lon-111.82AZ,0.0
solarlat36.83lon-110.82AZ,0.0
windlat31.83lon-108.05NM,0.0
windlat32.33lon-107.55NM,0.0
windlat32.33lon-105.55NM,0.0
windlat32.83lon-107.05NM,0.0
windlat33.33lon-108.55NM,0.0
windlat33.33lon-106.55NM,0.0
windlat33.83lon-107.05NM,0.0
windlat33.83lon-105.05NM,0.0
windlat34.33lon-108.55NM,0.0
windlat34.33lon-106.55NM,0.0
windlat34.33lon-104.55NM,0.0
windlat34.83lon-107.05NM,0.0
windlat34.83lon-105.55NM,0.0
windlat35.33lon-107.55NM,0.0
windlat35.33lon-105.55NM,0.0
windlat35.83lon-107.55NM,0.0
windlat35.83lon-105.55NM,0.0
windlat35.83lon-103.55NM,0.0
windlat36.33lon-107.55NM,0.0
