,r,rr,AC,DC,TotalCapacity,GAMS Symbol
0,WA,OR,16159.0,0,6689.929433612573,WAOR
1,WA,ID,13567.0,0,36050.34226412483,WAID
2,WA,MT,2843.0,0,1381.4969276462289,WAMT
3,OR,CA,4355.881243,2780,1097.7083516422556,ORCA
4,OR,NV,1.0,0,1074.4873306045818,ORNV
5,OR,ID,2133.0,0,7017.251109631894,ORID
6,CA,NV,2696.740288526,0,6361.423655156903,CANV
7,CA,UT,0.0,1920,94640.92283418351,CAUT
8,CA,AZ,2950.407438,0,354.20347695113475,CAAZ
9,NV,ID,863.0,0,588.3843381277513,NVID
10,NV,UT,474.77275499999996,0,7459.003808257123,NVUT
11,NV,AZ,4447.0,0,660.6868235434711,NVAZ
12,ID,MT,4357.0,0,3539.1946619422406,IDMT
13,ID,WY,3700.0,0,44996.17750195262,IDWY
14,ID,UT,1465.0,0,0.0,IDUT
15,MT,WY,1455.55927052,0,24446.43004050171,MTWY
16,WY,UT,1910.0,0,114717.00864295755,WYUT
17,WY,CO,3320.0,0,21428.457606482712,WYCO
18,UT,AZ,142.2724496,0,11382.811062827406,UTAZ
19,UT,NM,299.0836897,0,1167.0510609417354,UTNM
20,UT,CO,239.2401216,0,0.0,UTCO
21,AZ,NM,6959.0,0,5421.678209881621,AZNM
22,NM,CO,690.0,0,3065.514855923738,NMCO
23,OR,WA,16159.0,0,6689.929433612573,ORWA
24,ID,WA,13567.0,0,36050.34226412483,IDWA
25,MT,WA,2843.0,0,1381.4969276462289,MTWA
26,CA,OR,4355.881243,2780,1097.7083516422556,CAOR
27,NV,OR,1.0,0,1074.4873306045818,NVOR
28,ID,OR,2133.0,0,7017.251109631894,IDOR
29,NV,CA,2696.740288526,0,6361.423655156903,NVCA
30,UT,CA,0.0,1920,94640.92283418351,UTCA
31,AZ,CA,2950.407438,0,354.20347695113475,AZCA
32,ID,NV,863.0,0,588.3843381277513,IDNV
33,UT,NV,474.77275499999996,0,7459.003808257123,UTNV
34,AZ,NV,4447.0,0,660.6868235434711,AZNV
35,MT,ID,4357.0,0,3539.1946619422406,MTID
36,WY,ID,3700.0,0,44996.17750195262,WYID
37,UT,ID,1465.0,0,0.0,UTID
38,WY,MT,1455.55927052,0,24446.43004050171,WYMT
39,UT,WY,1910.0,0,114717.00864295755,UTWY
40,CO,WY,3320.0,0,21428.457606482712,COWY
41,AZ,UT,142.2724496,0,11382.811062827406,AZUT
42,NM,UT,299.0836897,0,1167.0510609417354,NMUT
43,CO,UT,239.2401216,0,0.0,COUT
44,NM,AZ,6959.0,0,5421.678209881621,NMAZ
45,CO,NM,690.0,0,3065.514855923738,CONM
