,r,rr,AC,DC,TotalCapacity,GAMS Symbol
0,WA,OR,16159.0,0,22390.00618536939,WAOR
1,WA,ID,13567.0,0,832017.8600532864,WAID
2,WA,MT,2843.0,0,22785.84502327215,WAMT
3,OR,CA,4355.881243,2780,1320.524499659574,ORCA
4,OR,NV,1.0,0,113219.10623723,ORNV
5,OR,ID,2133.0,0,224701.82370826573,ORID
6,CA,NV,2696.740288526,0,186053.63132651593,CANV
7,CA,UT,0.0,1920,794576.1672223614,CAUT
8,CA,AZ,2950.407438,0,94815.66458488844,CAAZ
9,NV,ID,863.0,0,108199.9399864909,NVID
10,NV,UT,474.77275499999996,0,326569.76553547743,NVUT
11,NV,AZ,4447.0,0,22428.760122236134,NVAZ
12,ID,MT,4357.0,0,82979.2776194122,IDMT
13,ID,WY,3700.0,0,1132187.1921306252,IDWY
14,ID,UT,1465.0,0,52013.41360926017,IDUT
15,MT,WY,1455.55927052,0,829381.587489937,MTWY
16,WY,UT,1910.0,0,1268411.9300382338,WYUT
17,WY,CO,3320.0,0,560829.1297822875,WYCO
18,UT,AZ,142.2724496,0,68488.45615303487,UTAZ
19,UT,NM,299.0836897,0,54166.279021605624,UTNM
20,UT,CO,239.2401216,0,0.0,UTCO
21,AZ,NM,6959.0,0,26482.413886320115,AZNM
22,NM,CO,690.0,0,194046.43548630053,NMCO
23,OR,WA,16159.0,0,22390.00618536939,ORWA
24,ID,WA,13567.0,0,832017.8600532864,IDWA
25,MT,WA,2843.0,0,22785.84502327215,MTWA
26,CA,OR,4355.881243,2780,1320.524499659574,CAOR
27,NV,OR,1.0,0,113219.10623723,NVOR
28,ID,OR,2133.0,0,224701.82370826573,IDOR
29,NV,CA,2696.740288526,0,186053.63132651593,NVCA
30,UT,CA,0.0,1920,794576.1672223614,UTCA
31,AZ,CA,2950.407438,0,94815.66458488844,AZCA
32,ID,NV,863.0,0,108199.9399864909,IDNV
33,UT,NV,474.77275499999996,0,326569.76553547743,UTNV
34,AZ,NV,4447.0,0,22428.760122236134,AZNV
35,MT,ID,4357.0,0,82979.2776194122,MTID
36,WY,ID,3700.0,0,1132187.1921306252,WYID
37,UT,ID,1465.0,0,52013.41360926017,UTID
38,WY,MT,1455.55927052,0,829381.587489937,WYMT
39,UT,WY,1910.0,0,1268411.9300382338,UTWY
40,CO,WY,3320.0,0,560829.1297822875,COWY
41,AZ,UT,142.2724496,0,68488.45615303487,AZUT
42,NM,UT,299.0836897,0,54166.279021605624,NMUT
43,CO,UT,239.2401216,0,0.0,COUT
44,NM,AZ,6959.0,0,26482.413886320115,NMAZ
45,CO,NM,690.0,0,194046.43548630053,CONM
