,r,rr,AC,DC,TotalCapacity,GAMS Symbol
0,WA,OR,16159.0,0,47083.27295793681,WAOR
1,WA,ID,13567.0,0,30626.701105920118,WAID
2,WA,MT,2843.0,0,69245.98932443981,WAMT
3,OR,CA,4355.881243,2780,37750.66189726735,ORCA
4,OR,NV,1.0,0,101605.26877835068,ORNV
5,OR,ID,2133.0,0,36515.22461638291,ORID
6,CA,NV,2696.740288526,0,41758.31690669576,CANV
7,CA,UT,0.0,1920,0.0,CAUT
8,CA,AZ,2950.407438,0,626.973384520227,CAAZ
9,NV,ID,863.0,0,98296.8320211545,NVID
10,NV,UT,474.77275499999996,0,44980.934349375646,NVUT
11,NV,AZ,4447.0,0,72882.79201684831,NVAZ
12,ID,MT,4357.0,0,62025.09625289476,IDMT
13,ID,WY,3700.0,0,58068.24268824737,IDWY
14,ID,UT,1465.0,0,51273.106568709096,IDUT
15,MT,WY,1455.55927052,0,162519.9964804534,MTWY
16,WY,UT,1910.0,0,21092.58629434458,WYUT
17,WY,CO,3320.0,0,210983.16998986958,WYCO
18,UT,AZ,142.2724496,0,12448.872386796687,UTAZ
19,UT,NM,299.0836897,0,60468.24826150287,UTNM
20,UT,CO,239.2401216,0,0.0,UTCO
21,AZ,NM,6959.0,0,27387.48793768965,AZNM
22,NM,CO,690.0,0,143670.13652860845,NMCO
23,OR,WA,16159.0,0,47083.27295793681,ORWA
24,ID,WA,13567.0,0,30626.701105920118,IDWA
25,MT,WA,2843.0,0,69245.98932443981,MTWA
26,CA,OR,4355.881243,2780,37750.66189726735,CAOR
27,NV,OR,1.0,0,101605.26877835068,NVOR
28,ID,OR,2133.0,0,36515.22461638291,IDOR
29,NV,CA,2696.740288526,0,41758.31690669576,NVCA
30,UT,CA,0.0,1920,0.0,UTCA
31,AZ,CA,2950.407438,0,626.973384520227,AZCA
32,ID,NV,863.0,0,98296.8320211545,IDNV
33,UT,NV,474.77275499999996,0,44980.934349375646,UTNV
34,AZ,NV,4447.0,0,72882.79201684831,AZNV
35,MT,ID,4357.0,0,62025.09625289476,MTID
36,WY,ID,3700.0,0,58068.24268824737,WYID
37,UT,ID,1465.0,0,51273.106568709096,UTID
38,WY,MT,1455.55927052,0,162519.9964804534,WYMT
39,UT,WY,1910.0,0,21092.58629434458,UTWY
40,CO,WY,3320.0,0,210983.16998986958,COWY
41,AZ,UT,142.2724496,0,12448.872386796687,AZUT
42,NM,UT,299.0836897,0,60468.24826150287,NMUT
43,CO,UT,239.2401216,0,0.0,COUT
44,NM,AZ,6959.0,0,27387.48793768965,NMAZ
45,CO,NM,690.0,0,143670.13652860845,CONM
