,r,rr,AC,DC,TotalCapacity,GAMS Symbol
0,WA,OR,16159.0,0,7491.404923825291,WAOR
1,WA,ID,13567.0,0,0.0,WAID
2,WA,MT,2843.0,0,1381.496927645875,WAMT
3,OR,CA,4355.881243,2780,1097.7083516417758,ORCA
4,OR,NV,1.0,0,1074.4873306072723,ORNV
5,OR,ID,2133.0,0,1276.4921276115163,ORID
6,CA,NV,2696.740288526,0,12787.332712487363,CANV
7,CA,UT,0.0,1920,0.0,CAUT
8,CA,AZ,2950.407438,0,354.2034769521232,CAAZ
9,NV,ID,863.0,0,507.6519322609887,NVID
10,NV,UT,474.77275499999996,0,1402.9249103984173,NVUT
11,NV,AZ,4447.0,0,4689.270426218054,NVAZ
12,ID,MT,4357.0,0,4075.6368662993777,IDMT
13,ID,WY,3700.0,0,971.3429973963317,IDWY
14,ID,UT,1465.0,0,0.0,IDUT
15,MT,WY,1455.55927052,0,1320.8572154748751,MTWY
16,WY,UT,1910.0,0,3699.0695462621748,WYUT
17,WY,CO,3320.0,0,7836.531734302816,WYCO
18,UT,AZ,142.2724496,0,2879.096208453704,UTAZ
19,UT,NM,299.0836897,0,1167.051060941258,UTNM
20,UT,CO,239.2401216,0,0.0,UTCO
21,AZ,NM,6959.0,0,5421.678209880394,AZNM
22,NM,CO,690.0,0,2367.6158805985165,NMCO
23,OR,WA,16159.0,0,7491.404923825291,ORWA
24,ID,WA,13567.0,0,0.0,IDWA
25,MT,WA,2843.0,0,1381.496927645875,MTWA
26,CA,OR,4355.881243,2780,1097.7083516417758,CAOR
27,NV,OR,1.0,0,1074.4873306072723,NVOR
28,ID,OR,2133.0,0,1276.4921276115163,IDOR
29,NV,CA,2696.740288526,0,12787.332712487363,NVCA
30,UT,CA,0.0,1920,0.0,UTCA
31,AZ,CA,2950.407438,0,354.2034769521232,AZCA
32,ID,NV,863.0,0,507.6519322609887,IDNV
33,UT,NV,474.77275499999996,0,1402.9249103984173,UTNV
34,AZ,NV,4447.0,0,4689.270426218054,AZNV
35,MT,ID,4357.0,0,4075.6368662993777,MTID
36,WY,ID,3700.0,0,971.3429973963317,WYID
37,UT,ID,1465.0,0,0.0,UTID
38,WY,MT,1455.55927052,0,1320.8572154748751,WYMT
39,UT,WY,1910.0,0,3699.0695462621748,UTWY
40,CO,WY,3320.0,0,7836.531734302816,COWY
41,AZ,UT,142.2724496,0,2879.096208453704,AZUT
42,NM,UT,299.0836897,0,1167.051060941258,NMUT
43,CO,UT,239.2401216,0,0.0,COUT
44,NM,AZ,6959.0,0,5421.678209880394,NMAZ
45,CO,NM,690.0,0,2367.6158805985165,CONM
